food_item,quantity,batch_number,received_date,expiration_date,storage_location,cost_per_unit,notes
Rice,150,BR001,2024-01-01,2024-01-15,Dry Storage #1,0.20,Main ingredient for meals
Chicken,75,CH001,2024-01-01,2024-01-05,Refrigerator #1,3.60,Fresh chicken breast
Vegetables,100,VE001,2024-01-01,2024-01-04,Refrigerator #2,1.50,Mixed vegetables
Bread,200,BR001,2024-01-01,2024-01-04,Pantry,0.15,Various bread types
Fruits,80,FR001,2024-01-01,2024-01-03,Refrigerator #2,2.00,Seasonal fruits
Pasta,120,PA001,2024-01-01,2024-01-20,Dry Storage #2,2.00,Various pasta types
Beef,60,BE001,2024-01-01,2024-01-04,Freezer #1,6.00,Ground beef
Beans,90,BE001,2024-01-01,2024-01-25,Dry Storage #1,0.80,Canned beans
Soup,50,SO001,2024-01-01,2024-01-08,Pantry,1.60,Canned soups
Cheese,40,CH001,2024-01-01,2024-01-10,Refrigerator #1,3.00,Various cheeses
Fish,45,FI001,2024-01-01,2024-01-03,Freezer #1,4.00,Frozen fish fillets
Potatoes,180,PO001,2024-01-01,2024-01-14,Pantry,0.30,Russet potatoes
Salad,60,SA001,2024-01-01,2024-01-03,Refrigerator #2,1.50,Mixed salad greens
Desserts,70,DE001,2024-01-01,2024-01-07,Freezer #2,3.00,Frozen desserts
